Account_No,Month_ID,Product_Category,Revenue
99696211,135,Online Products,323096
55252101,133,Online Products,322744
72828522,137,Online Products,322045
55252101,133,Services,315928
72828522,121,Services,315572
79292522,123,Services,315350
79292522,137,Services,314643
30606604,120,Services,311432
79292522,126,Services,310963
8686522,130,Services,310831
79292522,136,Services,310023
38686957,138,Services,309454
79292522,125,Services,308383
8686522,131,Services,304202
55252101,130,Services,303915
99696211,134,Online Products,303530
55252101,128,Services,302546
79292522,131,Services,301805
79292522,124,Services,299560
79292522,138,Services,298370
55252101,129,Services,297192
79292522,130,Services,296964
79292522,122,Services,295308
72828522,136,Online Products,291641
8686522,129,Services,290583
79292522,121,Services,289413
70202603,127,Services,288532
97878594,133,Services,287512
72828522,120,Services,287354
79292522,128,Services,285625
79292522,120,Services,285110
38686957,137,Services,280254
79292522,129,Services,279447
97878594,130,Services,278162
97878594,132,Services,277376
99696211,133,Online Products,277370
97878594,129,Services,275987
8686522,128,Services,275089
55252101,132,Online Products,272077
72828522,135,Online Products,266921
79292522,127,Services,265567
54949520,137,Services,264608
8686522,126,Services,263876
67676520,134,Services,262643
38686957,136,Services,261645
99696211,132,Online Products,261196
89393970,135,Services,259932
28585106,135,Services,259378
97878594,131,Services,258916
67676520,133,Services,258847
8686522,125,Services,257359
38686957,135,Services,256775
28585106,138,Services,255565
28585106,136,Services,254769
67676520,131,Services,254187
28585106,137,Services,253710
89393970,137,Services,252360
18888143,135,Services,251894
54949520,136,Services,249832
89393970,136,Services,249822
89393970,134,Services,248931
89393970,132,Services,248774
45555157,138,Services,248758
89393970,133,Services,248624
72828522,134,Online Products,248433
28585106,134,Services,247576
38686957,134,Services,245153
80707184,125,Services,243634
67676520,132,Services,243462
72828522,133,Online Products,243083
54949520,133,Services,241687
70202603,126,Services,241329
8686522,124,Services,240851
54949520,135,Services,240807
67676520,130,Services,240790
28585106,133,Services,239753
8686522,127,Services,239249
54949520,138,Services,239053
12929521,138,Services,238040
72626521,130,Services,237139
38686957,133,Services,236965
54949520,132,Services,236350
12929521,137,Services,233886
79292522,134,Services,232949
54949520,134,Services,232512
8686522,123,Services,231333
28585106,132,Services,229839
89393970,131,Services,229608
18888143,136,Services,229060
79292522,138,Online Products,228048
72626521,126,Services,227393
38686957,132,Services,226150
28585106,130,Services,225684
99696211,131,Online Products,223991
97171523,136,Services,223015
89393970,130,Services,222911
28585106,131,Services,222670
72828522,132,Online Products,222328
72626521,128,Services,222094
22525115,138,Online Products,221954
74848132,138,Services,221787
72626521,131,Services,221707
97171523,135,Services,220748
45555157,135,Services,219234
38686957,131,Services,219062
89393970,122,Services,218636
97171523,138,Services,218409
55252101,127,Services,217797
72626521,132,Services,217517
99696211,130,Online Products,217417
45555157,134,Services,217190
72626521,129,Services,217079
55252101,128,Online Products,216973
18888143,137,Services,216741
18888143,138,Services,216724
70404109,137,Services,216713
67676520,124,Online Products,216516
89393970,129,Services,216496
18888143,134,Services,216494
89393970,128,Services,215469
45555157,137,Services,215126
89393970,125,Services,215077
38686957,128,Services,213809
45555157,136,Services,213291
97878594,125,Services,213170
38686957,129,Services,213155
70404109,138,Services,212847
97171523,137,Services,212142
8686522,121,Services,212088
89393970,126,Services,211667
67676520,129,Services,210818
8686522,122,Services,210545
28585106,129,Services,210544
97171523,134,Services,209642
72828522,128,Online Products,209453
72626521,133,Services,209211
70404109,135,Services,209146
72828522,130,Online Products,209013
97878594,128,Services,208669
72828522,131,Online Products,208580
8686522,120,Services,208443
70404109,136,Services,207724
89393970,123,Services,207558
72626521,123,Services,207339
72626521,122,Services,206865
38686957,130,Services,206806
89393970,124,Services,206751
72626521,121,Services,206396
55252101,129,Online Products,206346
18888143,133,Services,205431
74848132,135,Services,205192
79292522,137,Online Products,204814
72626521,125,Services,204569
74848132,137,Services,204434
55252101,131,Online Products,204266
97171523,133,Services,203623
72626521,124,Services,202675
54949520,131,Services,202420
97171523,132,Services,201407
97878594,127,Services,201296
38686957,125,Services,200708
38686957,126,Services,200573
12727521,138,Services,199617
72828522,126,Online Products,199385
74848132,136,Services,199320
72828522,129,Online Products,199292
12929521,136,Services,198870
67676520,128,Services,198507
28585106,128,Services,198068
28585106,125,Services,197555
97171523,126,Services,197091
72626521,120,Services,194500
31515815,138,Services,194048
99696211,129,Online Products,193777
38686957,124,Services,193694
45555157,133,Services,193300
97171523,125,Services,192752
72626521,127,Services,192741
97171523,131,Services,192717
89393970,127,Services,192027
28585106,126,Services,191172
18888143,132,Services,191065
70404109,134,Services,190927
38686957,123,Services,190786
74848132,133,Services,190755
45555157,132,Services,190599
12727521,137,Services,190220
74848132,134,Services,190077
55252101,126,Services,189539
67676520,127,Services,189325
54949520,130,Services,187634
31515815,130,Services,187489
22525115,137,Online Products,187133
99696211,128,Online Products,186749
38686957,121,Services,186075
28282143,138,Services,185957
72828522,125,Online Products,185338
38686957,127,Services,185234
28282143,137,Services,185072
12727521,136,Services,184808
72828522,127,Online Products,183959
38686957,120,Services,183662
97171523,128,Services,183475
67676520,138,Online Products,183413
89393970,121,Services,183061
97878594,126,Services,182090
28585106,127,Services,181848
67676520,125,Services,181746
97171523,130,Services,181583
38686957,122,Services,180490
67676520,126,Services,180421
18888143,130,Services,179123
12727521,135,Services,178679
97171523,129,Services,178350
55252101,130,Online Products,177438
69393112,138,Services,176914
69393112,137,Services,176096
28585106,123,Services,175823
70404109,133,Services,175710
89393970,120,Services,174586
97171523,124,Services,173682
22525115,136,Online Products,172725
28585106,124,Services,172039
72626521,137,Services,171492
54949520,129,Services,171062
97171523,127,Services,170375
84343952,136,Online Products,170220
28282143,136,Services,169345
67676520,124,Services,169228
72828522,138,Services,169176
72626521,136,Services,168751
28282143,121,Services,168213
74848132,132,Services,168113
84343952,137,Online Products,168025
72626521,134,Services,167715
18888143,131,Services,167338
54949520,128,Services,166463
28282143,135,Services,166174
72626521,135,Services,165249
72828522,124,Online Products,164226
22525115,135,Online Products,164133
3333165,138,Services,163072
67676520,136,Online Products,162868
72828522,123,Online Products,162642
67676520,137,Online Products,162579
31515815,137,Services,162478
41313520,138,Online Products,162368
12929521,135,Services,162284
28585106,122,Services,161521
79292522,135,Online Products,161126
69393112,136,Services,160888
72626521,138,Services,160586
18888143,129,Services,160441
28585106,120,Services,159930
28585106,121,Services,159579
28282143,122,Services,159445
97878594,124,Services,159184
70404109,132,Services,159003
79292522,133,Online Products,157910
28282143,123,Services,156367
80707184,124,Services,155285
80707184,126,Services,155118
70404109,130,Services,153859
79292522,136,Online Products,153688
74848132,131,Services,152747
28282143,134,Services,152347
67676520,123,Services,152013
28282143,126,Services,151991
87373132,131,Services,151676
87373132,132,Services,151361
54949520,127,Services,150191
28282143,133,Services,149697
45555157,131,Services,149240
54949520,126,Services,149224
28282143,128,Services,149151
70404109,131,Services,148561
55252101,125,Services,148390
72828522,122,Online Products,147592
79292522,132,Online Products,147564
74848132,130,Services,147484
87373132,138,Services,147231
54949520,124,Services,147138
72828522,121,Online Products,146667
54949520,123,Services,146075
28282143,120,Services,146034
27575845,135,Services,145887
97171523,123,Services,145544
67676520,135,Online Products,145528
72828522,120,Online Products,144937
87373132,137,Services,143989
45555157,130,Services,143963
41313520,137,Online Products,143890
27575845,136,Services,143686
87373132,130,Services,143630
70404109,129,Services,143242
70404109,128,Services,142640
12929521,134,Services,142335
99696211,127,Online Products,142304
28282143,129,Services,142176
87373132,133,Services,142110
54949520,125,Services,141806
3333165,137,Services,141653
55252101,124,Services,140821
28282143,127,Services,140634
12727521,134,Services,139370
67676520,129,Online Products,138844
28282143,130,Services,137780
81010132,133,Services,137079
87373132,136,Services,137043
67676520,130,Online Products,136144
28282143,124,Services,135507
87373132,135,Services,134805
97171523,128,Online Products,134515
84343952,135,Online Products,134328
28282143,132,Services,133709
28282143,125,Services,133673
54949520,122,Services,133567
70404109,127,Services,133532
97878594,123,Services,133098
18888143,128,Services,132928
55252101,123,Services,131841
28282143,131,Services,131143
27575845,138,Services,131097
69393112,135,Services,131073
22525115,134,Online Products,130038
81010132,138,Services,129184
27575845,137,Services,129107
87373132,134,Services,128958
67676520,121,Services,128764
22525115,128,Online Products,128168
74848132,129,Services,127568
27575845,134,Services,127447
66363165,138,Services,126868
12727521,133,Services,126326
67676520,122,Services,126223
22525115,133,Online Products,125816
80707184,128,Services,125372
63333112,138,Services,124521
81010132,134,Services,124020
87373132,129,Services,123866
97171523,123,Online Products,123816
81010132,137,Services,123554
67676520,128,Online Products,122541
81010132,132,Services,122039
41313520,136,Services,122017
70404109,126,Services,121968
55252101,127,Online Products,121899
81010132,128,Services,121529
81010132,135,Services,121460
63333112,137,Services,121097
66363165,137,Services,120230
81010132,136,Services,120123
97171523,125,Online Products,119975
45555157,129,Services,119651
98080522,138,Services,119112
82525143,138,Services,119001
99696211,126,Online Products,118922
98080522,126,Services,118775
74848132,128,Services,118761
82525143,123,Services,118551
80707184,127,Services,118549
8686141,138,Services,118222
22525115,132,Online Products,118174
98080522,133,Services,118138
54949520,121,Services,117836
98080522,135,Services,117438
98080522,134,Services,117350
31515815,136,Services,117350
98080522,136,Services,117285
80707184,129,Services,116678
97171523,122,Services,115767
12929521,133,Services,115089
97171523,126,Online Products,115081
81010132,131,Services,114973
81010132,121,Services,114914
30606604,138,Online Products,114888
82525143,133,Services,114693
27575845,133,Services,113946
81010132,127,Services,113713
67676520,134,Online Products,113355
81010132,130,Services,113099
8686141,136,Services,113059
97171523,135,Online Products,113032
3333165,132,Services,112977
97171523,127,Online Products,112854
97171523,136,Online Products,112728
97171523,137,Online Products,112655
81010132,129,Services,112403
97171523,122,Online Products,112370
31515815,128,Services,112258
82525143,134,Services,112245
12727521,132,Services,111978
8686141,137,Services,111709
55252101,120,Services,111590
82525143,137,Services,111563
87373132,128,Services,111148
63333112,136,Services,111045
98080522,125,Services,110989
12727521,130,Services,110900
98080522,128,Services,110859
70404109,124,Services,110851
97171523,133,Online Products,110780
81010132,123,Services,110688
22525115,126,Online Products,110632
63333112,135,Services,110270
74848132,126,Services,110168
3333165,136,Services,109503
82525143,136,Services,109424
3333165,133,Services,109136
97171523,138,Online Products,109127
97171523,129,Online Products,108713
8686141,135,Services,108610
55252101,121,Services,108558
8686141,134,Services,108539
82525143,132,Services,108407
97171523,132,Online Products,108318
98080522,127,Services,108036
84343952,134,Online Products,107940
97171523,134,Online Products,107899
82525143,120,Services,107792
81010132,124,Services,107731
97171523,124,Online Products,107582
98080522,123,Services,107454
8686141,133,Services,106800
81010132,122,Services,106724
79292522,134,Online Products,106712
97171523,131,Online Products,106683
66363165,136,Services,106038
67676520,120,Services,106004
70404109,123,Services,105936
97171523,130,Online Products,105856
3333165,131,Services,105657
97171523,120,Online Products,105456
54949520,120,Services,105453
45555157,128,Services,105383
8686141,131,Services,105291
30606604,137,Online Products,105266
98080522,124,Services,105099
12727521,131,Services,104982
55252101,122,Services,104874
31515815,138,Online Products,104772
79292522,128,Online Products,104769
81010132,125,Services,104641
37878111,138,Services,104414
74848132,125,Services,104286
31515815,137,Online Products,104171
54949520,132,Online Products,103847
67676520,131,Online Products,103789
97878594,122,Services,103483
3333165,134,Services,103447
22525115,127,Online Products,103446
22525115,125,Online Products,103027
87373132,125,Services,102828
84343952,137,Services,102820
22525115,129,Online Products,102648
8686141,132,Services,102610
95353119,138,Services,102544
82525143,135,Services,102226
3333165,135,Services,101937
82525143,128,Services,101681
81010132,126,Services,101676
74848132,127,Services,101479
80707184,123,Services,101466
87373132,127,Services,100988
81010132,120,Services,100887
82525143,126,Services,100578
69393112,134,Services,100527
82525143,131,Services,100248
82525143,121,Services,99761
70404109,122,Services,99661
87373132,126,Services,99660
70404109,120,Services,99606
82525143,127,Services,99223
79292522,130,Online Products,99106
79292522,131,Online Products,98914
70404109,121,Services,98842
8686141,130,Services,98815
31515815,136,Online Products,98268
72828522,138,Online Products,98203
67676520,133,Online Products,98081
31515815,129,Services,97766
63333112,133,Services,97571
12929521,132,Services,97480
97171523,121,Services,97136
22525115,131,Online Products,96661
41313520,136,Online Products,96609
63333112,134,Services,96098
27575845,132,Services,95613
68484104,138,Services,95346
84343952,136,Services,95338
30606604,136,Online Products,95304
82525143,130,Services,95067
98080522,129,Services,94906
27575845,131,Services,94874
67676520,126,Online Products,93797
3333165,130,Services,93794
82525143,125,Services,93766
31515815,135,Online Products,92856
74848132,124,Services,92683
31515815,135,Services,92108
45555157,127,Services,92099
90404604,121,Services,91848
67676520,127,Online Products,91770
68484104,137,Services,91494
84343952,138,Services,91387
8686141,129,Services,91282
98080522,122,Services,91223
12727521,129,Services,91186
82525143,129,Services,91102
63333112,132,Services,91009
78787111,138,Services,90862
90404604,123,Services,90859
97171523,121,Online Products,90546
41313520,135,Services,90408
97878594,121,Services,90356
99696211,125,Online Products,90335
90404604,120,Services,90319
90404604,125,Services,90080
98080522,121,Services,89845
68484104,136,Services,89650
22525115,130,Online Products,89526
66363165,135,Services,89469
22525115,124,Online Products,89414
67676520,125,Online Products,89163
95353119,136,Services,89037
90404604,124,Services,88761
90404604,126,Services,88390
45555157,126,Services,88365
78787111,137,Services,88329
22525115,122,Online Products,88263
95353119,137,Services,88038
69393112,133,Services,88019
78787111,132,Services,87551
90404604,122,Services,87543
55252101,126,Online Products,87402
78787111,135,Services,86970
18888143,127,Services,86868
98080522,120,Services,86702
87373132,124,Services,86386
67676520,132,Online Products,86319
83030594,120,Services,86228
22525115,123,Online Products,85872
95353119,135,Services,85677
3333165,129,Services,85157
12929521,131,Services,84899
68484104,135,Services,84747
45555157,125,Services,84414
98080522,132,Services,84087
78787111,136,Services,83869
87373132,123,Services,83859
3333165,125,Services,83842
78787111,133,Services,83620
4545136,138,Services,83530
79292522,129,Online Products,83252
37878111,137,Services,83107
84343952,138,Online Products,82894
30606604,135,Online Products,82767
79292522,126,Online Products,82735
78787111,134,Services,82579
22525115,121,Online Products,82539
12727521,128,Services,82408
18888143,126,Services,82031
30606604,126,Online Products,81967
97171523,120,Services,81373
82525143,124,Services,81363
3333165,124,Services,80990
45555157,124,Services,80777
18888143,125,Services,80679
4545136,137,Services,80370
82525143,122,Services,79833
41313520,134,Services,78560
63333112,131,Services,78361
70202603,125,Services,77912
54949520,133,Online Products,77869
41313520,135,Online Products,77855
80707184,121,Services,77842
83030594,121,Services,77613
45555157,123,Services,77149
37878111,135,Services,77003
37878111,136,Services,76817
83030594,123,Services,76682
87373132,122,Services,76641
95353119,134,Services,76577
74848132,123,Services,76490
80707184,120,Services,75894
27575845,130,Services,75827
87373132,121,Services,75787
68484104,134,Services,75674
95353119,128,Services,75651
79292522,127,Online Products,75612
3333165,123,Services,75554
8686141,128,Services,75436
8686141,127,Services,75263
83030594,122,Services,74674
3333165,126,Services,74666
3333165,128,Services,74274
95353119,130,Services,74243
80707184,122,Services,74202
4545136,136,Services,74196
95353119,129,Services,74157
18888143,124,Services,73740
95353119,131,Services,73416
31010882,121,Services,72851
31010882,120,Services,72847
8686522,136,Online Products,72825
4545136,135,Services,72549
66363165,134,Services,72483
80707184,130,Services,72245
22525115,120,Online Products,72209
80707184,137,Services,72166
80707184,138,Services,72085
84343952,135,Services,71655
55252101,125,Online Products,71616
25555521,138,Services,71539
54949520,138,Online Products,71522
41313520,134,Online Products,71462
18888143,123,Services,71451
84343952,134,Services,70981
8686141,126,Services,70910
41313520,133,Services,70791
90404604,127,Services,70786
27575845,129,Services,70767
78787111,131,Services,70525
8686522,138,Online Products,69481
99696211,124,Online Products,69472
30606604,134,Online Products,69378
83030594,124,Services,69269
30606604,132,Online Products,69224
54949520,136,Online Products,69094
69393112,132,Services,68690
31010882,122,Services,68119
30606604,133,Online Products,67933
54949520,134,Online Products,67929
54949520,137,Online Products,67874
4545136,134,Services,67815
54747520,137,Services,67701
54747520,138,Services,67328
70404109,125,Services,67282
4545136,133,Services,67090
28282143,138,Online Products,66961
37878111,134,Services,66907
3333165,127,Services,66765
54747520,135,Services,66542
68484104,133,Services,66497
79292522,125,Online Products,66436
70202603,124,Services,66433
80707184,136,Services,66175
95353119,126,Services,66171
31010882,123,Services,66111
54747520,136,Services,66107
84343952,133,Services,65599
30606604,130,Online Products,65568
45555157,122,Services,65524
32121521,138,Services,65390
12929521,130,Services,65251
83030594,125,Services,65204
80707184,133,Services,64823
78787111,130,Services,64812
74848132,122,Services,64663
80707184,135,Services,64613
74848132,121,Services,64579
18080129,130,Services,64501
37878111,133,Services,64452
8686141,125,Services,64202
4545136,132,Services,64081
83030594,133,Services,63886
95353119,127,Services,63689
63333112,130,Services,63686
54747520,134,Services,63633
43838604,137,Services,63627
45555157,120,Services,63622
87373132,120,Services,63559
83030594,135,Services,63456
83030594,138,Services,63437
45555157,121,Services,63423
74848132,120,Services,63373
83030594,137,Services,63172
28585106,137,Online Products,63026
30303520,138,Services,63020
78787111,128,Services,62950
18888143,121,Services,62869
54747520,130,Services,62834
83030594,132,Services,62614
83030594,134,Services,62568
83030594,126,Services,62322
83030594,136,Services,62209
66363165,133,Services,62100
18888143,122,Services,62084
25555521,137,Services,62018
84343952,133,Online Products,61928
4545136,131,Services,61862
12929521,129,Services,61836
80707184,132,Services,61745
78787111,129,Services,61635
8686522,137,Online Products,61433
32121521,137,Services,61422
54949520,135,Online Products,61342
25555521,136,Services,61322
54747520,133,Services,61274
18888143,120,Services,61261
37878111,132,Services,61239
8686522,135,Online Products,61081
31010882,124,Services,60992
54747520,132,Services,60906
34343132,138,Services,60888
4545136,130,Services,60723
83030594,128,Services,60424
28282143,137,Online Products,60292
68484104,132,Services,60242
83030594,131,Services,60217
79292522,124,Online Products,59981
8686522,134,Online Products,59773
54747520,131,Services,59753
97878594,120,Services,59684
8686141,124,Services,59669
68181520,137,Services,59367
80707184,134,Services,59176
54747520,128,Services,59071
80707184,131,Services,59065
83030594,130,Services,58952
83030594,127,Services,58666
30606604,131,Online Products,58638
54747520,125,Services,58562
18080129,131,Services,58388
34343132,131,Services,58335
34343132,135,Services,58233
18080129,138,Services,58080
43838604,127,Services,58056
32121521,135,Services,57926
68181520,135,Services,57842
13737882,138,Services,57724
54747520,124,Services,57480
32121521,136,Services,57422
54747520,129,Services,57356
54747520,123,Services,57349
13737882,136,Services,57328
41313520,132,Services,57111
18080129,137,Services,57080
31010882,125,Services,56911
70202603,123,Services,56884
83030594,129,Services,56862
54747520,126,Services,56687
95353119,133,Services,56534
90404604,128,Services,56520
67676520,122,Online Products,56491
32121521,134,Services,56368
34343132,136,Services,56238
78787111,126,Services,56181
43838604,138,Services,56142
8686522,130,Online Products,56051
95353119,125,Services,55799
54747520,127,Services,55748
25555521,135,Services,55725
68181520,138,Services,55677
69393112,138,Online Products,55308
4545136,129,Services,55193
3333165,121,Services,55188
34343132,137,Services,54973
30303520,137,Services,54824
18080129,136,Services,54650
3333165,122,Services,54454
55252101,124,Online Products,54419
37878111,131,Services,54396
68181520,126,Services,54330
78787111,127,Services,54207
68181520,136,Services,54116
8686522,133,Online Products,54027
28282143,136,Online Products,53859
18080129,135,Services,53759
13737882,137,Services,53753
68484104,131,Services,53706
95353119,123,Services,53580
54949520,131,Online Products,53446
91111603,138,Services,53382
12929521,128,Services,53374
68181520,125,Services,53371
28585106,138,Online Products,53217
54747520,122,Services,53140
32121521,133,Services,53037
43838604,126,Services,52961
34343132,134,Services,52882
63333112,129,Services,52784
68484104,129,Services,52447
68181520,134,Services,52385
27575845,126,Services,52254
55252101,123,Online Products,52231
30303520,136,Services,52224
34343132,132,Services,52220
78787111,125,Services,52126
3333165,120,Services,51959
98080522,137,Services,51854
28282143,135,Online Products,51756
43838604,124,Services,51706
8686522,131,Online Products,51622
27575845,125,Services,51474
4545136,128,Services,51420
68484104,130,Services,51333
27575845,128,Services,51081
82424132,135,Services,51014
30303520,135,Services,50932
95353119,124,Services,50823
18080129,134,Services,50743
34343132,133,Services,50669
18080129,133,Services,50652
31010882,126,Services,50632
18080129,129,Services,50462
68181520,121,Services,50338
69393112,131,Services,50309
14040147,138,Services,50286
27575845,138,Online Products,49994
68181520,124,Services,49843
18080129,132,Services,49794
8686522,132,Online Products,49724
99696211,123,Online Products,49666
90404604,129,Services,49545
82424132,137,Services,49304
74848132,138,Online Products,49130
79292522,123,Online Products,49037
27575845,124,Services,48982
43838604,125,Services,48773
34343132,129,Services,48757
27575845,123,Services,48714
68181520,133,Services,48629
68181520,128,Services,48491
69393112,137,Online Products,48435
8686522,129,Online Products,48405
54949520,121,Online Products,48393
25555521,134,Services,48382
82424132,138,Services,48350
97878594,138,Online Products,48281
27575845,127,Services,48225
68181520,123,Services,48178
82424132,136,Services,48025
90404604,130,Services,47874
9797210,135,Services,47845
25757967,129,Online Products,47706
30606604,129,Online Products,47579
25555521,133,Services,47439
37878111,130,Services,47405
34343132,130,Services,47383
30707619,138,Services,47176
41010143,138,Services,47083
13737882,135,Services,47010
54747520,121,Services,46934
37878111,129,Services,46894
66363165,132,Services,46858
84343952,132,Services,46795
9797210,136,Services,46773
95353119,120,Services,46588
55252101,122,Online Products,46548
70202603,122,Services,46519
68181520,129,Services,46499
9797210,137,Services,46469
43838604,129,Services,46392
68181520,122,Services,46219
30606604,128,Online Products,46204
9797210,138,Services,46198
91111603,137,Services,46195
37878111,128,Services,46193
30303520,134,Services,46178
41313520,133,Online Products,46146
82424132,134,Services,46139
43838604,128,Services,46090
74848132,137,Online Products,46015
10808940,128,Services,45884
84646844,136,Services,45732
30303520,133,Services,45652
43838604,136,Services,45651
84646844,138,Services,45577
31010882,130,Services,45551
80707184,137,Online Products,45541
31010882,128,Services,45411
74848132,136,Online Products,45408
31515815,130,Online Products,45381
68181520,120,Services,45364
29393604,130,Services,45251
84646844,137,Services,45179
93939111,128,Services,45157
31010882,129,Services,45111
29393604,133,Services,45092
69393112,136,Online Products,45086
68181520,130,Services,45045
30303520,132,Services,45026
28282143,131,Online Products,44978
84646844,133,Services,44939
31010882,132,Services,44932
31010882,133,Services,44915
32121521,132,Services,44856
93939111,132,Services,44823
84343952,124,Services,44809
95353119,122,Services,44806
95353119,121,Services,44785
4545136,127,Services,44762
80707184,135,Online Products,44753
25555521,130,Services,44721
71414953,127,Services,44684
31010882,137,Services,44683
14040147,132,Services,44636
31010882,138,Services,44620
31010882,131,Services,44611
84646844,135,Services,44566
41010143,137,Services,44558
74848132,135,Online Products,44483
29393604,138,Services,44381
31010882,135,Services,44357
30606604,124,Online Products,44317
34343132,125,Services,44256
31010882,127,Services,44229
29393604,132,Services,44177
27575845,122,Services,44094
93939111,126,Services,44062
78787111,124,Services,43989
30303520,131,Services,43983
29393604,131,Services,43976
43838604,122,Services,43967
93939111,130,Services,43923
12929521,125,Services,43864
84646844,132,Services,43798
12929521,126,Services,43758
68484104,128,Services,43755
63333112,128,Services,43752
31010882,134,Services,43751
12929521,124,Services,43749
93939111,129,Services,43747
29393604,137,Services,43681
80707184,131,Online Products,43678
84343952,129,Services,43678
93939111,133,Services,43633
31010882,136,Services,43532
54949520,123,Online Products,43513
93939111,135,Services,43512
32121521,130,Services,43510
29393604,134,Services,43466
84343952,128,Services,43463
29393604,135,Services,43458
84343952,123,Services,43445
93939111,137,Services,43429
84646844,134,Services,43315
43838604,123,Services,43297
29393604,129,Services,43209
71414953,130,Services,43197
93939111,131,Services,43129
68181520,131,Services,43110
71414953,131,Services,43075
30606604,125,Online Products,42691
12929521,123,Services,42689
28282143,134,Online Products,42661
71414953,135,Services,42661
34343132,126,Services,42605
71414953,138,Services,42532
50909134,138,Online Products,42476
32121521,131,Services,42407
93939111,125,Services,42379
90404604,131,Services,42347
29393604,136,Services,42343
71414953,136,Services,42253
14040147,126,Services,42228
84343952,131,Services,42177
25555521,132,Services,42088
68484104,126,Services,42069
14040147,137,Services,42050
12929521,127,Services,42048
93939111,134,Services,42021
93939111,136,Services,42004
84343952,125,Services,41761
71414953,137,Services,41732
71414953,128,Services,41702
41010143,136,Services,41583
78787111,123,Services,41569
93939111,138,Services,41550
68181520,132,Services,41336
14040147,125,Services,41254
93939111,127,Services,41248
8686141,123,Services,41107
34343132,128,Services,41103
14040147,133,Services,41094
14040147,128,Services,41016
24848112,137,Services,40958
43838604,135,Services,40951
30303520,130,Services,40939
71414953,134,Services,40895
82424132,133,Services,40887
71414953,129,Services,40821
84343952,126,Services,40803
84343952,127,Services,40598
84343952,130,Services,40555
30707619,137,Services,40538
29393604,128,Services,40456
31515815,129,Online Products,40226
9797210,134,Services,40125
71414953,133,Services,40100
31515815,128,Online Products,40082
34343132,127,Services,40071
98181961,135,Services,40035
43838604,121,Services,40013
69393112,135,Online Products,39962
8686522,128,Online Products,39954
80707184,136,Online Products,39903
13737882,134,Services,39843
50909134,137,Online Products,39610
68484104,127,Services,39588
42525961,135,Services,39535
98181961,134,Services,39511
43838604,131,Services,39424
43838604,134,Services,39377
24848112,138,Services,39320
