Account_No,Month_ID,Product_Category, Marketing Spend 
28585106,120,Services,"192,744"
18888143,137,Services,"191,896"
70202603,133,Services,"188,064"
79292522,137,Services,"187,367"
72828522,129,Services,"186,861"
99696211,138,Online Products,"186,067"
12727521,133,Services,"185,793"
67676520,138,Services,"185,603"
79292522,120,Services,"185,210"
89393970,132,Services,"182,944"
87373132,135,Services,"182,221"
63333112,137,Services,"180,826"
55252101,134,Online Products,"180,590"
67676520,131,Services,"179,055"
70202603,128,Services,"177,601"
74848132,138,Services,"174,653"
70202603,137,Services,"174,641"
55252101,130,Services,"173,695"
70202603,134,Services,"171,400"
90404604,124,Services,"170,698"
89393970,138,Services,"169,078"
79292522,138,Services,"168,598"
89393970,126,Services,"168,050"
30606604,130,Services,"167,588"
81010132,132,Services,"167,274"
8686522,137,Services,"166,974"
55252101,128,Services,"166,248"
8686522,134,Services,"165,878"
97171523,129,Services,"165,211"
67676520,130,Services,"164,964"
81010132,122,Services,"161,713"
54949520,121,Services,"161,462"
63333112,133,Services,"159,966"
70404109,136,Services,"158,584"
72626521,132,Services,"157,700"
54949520,120,Services,"157,471"
55252101,129,Services,"156,463"
79292522,127,Services,"155,346"
12727521,136,Services,"155,342"
30606604,125,Services,"154,929"
72828522,120,Services,"153,672"
28585106,126,Services,"152,968"
72626521,131,Services,"152,913"
67676520,123,Online Products,"151,997"
70202603,135,Services,"151,251"
79292522,131,Services,"150,213"
79292522,133,Services,"148,180"
8686141,137,Services,"147,060"
45555157,130,Services,"146,980"
38686957,120,Services,"145,861"
97878594,124,Services,"144,765"
38686957,137,Services,"144,498"
38686957,132,Services,"144,087"
98080522,124,Services,"144,017"
89393970,130,Services,"143,825"
28282143,125,Services,"143,747"
72626521,122,Services,"143,734"
41313520,135,Services,"143,537"
97878594,136,Services,"141,565"
79292522,125,Services,"141,508"
79292522,126,Services,"141,420"
99696211,134,Online Products,"139,255"
70404109,138,Services,"139,172"
67676520,136,Services,"138,256"
12727521,129,Services,"138,190"
30606604,121,Services,"137,388"
67676520,123,Services,"136,960"
72828522,123,Services,"136,531"
55252101,132,Services,"136,164"
55252101,134,Services,"135,805"
63333112,135,Services,"134,506"
18888143,125,Services,"134,471"
63333112,132,Services,"133,926"
74848132,132,Services,"133,471"
8686522,130,Services,"133,411"
74848132,134,Services,"132,969"
63333112,131,Services,"132,905"
72626521,125,Services,"132,863"
84343952,138,Services,"132,528"
79292522,128,Services,"132,241"
31515815,138,Services,"132,091"
45555157,137,Services,"132,023"
55252101,127,Services,"132,003"
72828522,137,Online Products,"132,003"
99696211,136,Online Products,"131,956"
45555157,134,Services,"131,665"
30606604,120,Services,"131,419"
28585106,124,Services,"130,350"
82525143,120,Services,"129,946"
79292522,129,Services,"129,386"
8686141,136,Services,"128,496"
80707184,121,Services,"127,612"
30606604,122,Services,"127,462"
12929521,138,Services,"127,296"
67676520,129,Services,"127,034"
8686522,133,Services,"127,024"
97878594,129,Services,"126,667"
27575845,137,Services,"126,600"
82525143,134,Services,"126,138"
8686522,129,Services,"125,827"
70202603,129,Services,"125,357"
82525143,135,Services,"124,699"
79292522,122,Services,"124,681"
99696211,135,Online Products,"124,331"
70404109,134,Services,"124,023"
74848132,130,Services,"124,006"
28585106,132,Services,"122,942"
74848132,135,Services,"122,924"
54949520,138,Services,"122,671"
78787111,130,Services,"122,360"
74848132,137,Services,"121,782"
72626521,133,Services,"121,674"
89393970,120,Services,"121,315"
99696211,137,Online Products,"121,080"
74848132,129,Services,"120,436"
3333165,134,Services,"120,289"
74848132,133,Services,"119,989"
38686957,135,Services,"119,467"
82525143,131,Services,"119,344"
79292522,123,Services,"119,045"
66363165,138,Services,"118,629"
97171523,121,Services,"118,460"
79292522,134,Services,"118,335"
83030594,134,Services,"118,095"
18888143,132,Services,"118,024"
97171523,126,Services,"117,403"
70202603,126,Services,"117,183"
8686522,136,Services,"117,163"
72828522,135,Online Products,"117,086"
90404604,122,Services,"116,779"
28585106,136,Services,"116,358"
55252101,133,Online Products,"116,116"
4545136,138,Services,"116,071"
31515815,128,Services,"115,783"
54949520,125,Services,"115,329"
12929521,137,Services,"115,244"
32121521,138,Services,"114,789"
28585106,138,Services,"114,668"
8686522,135,Services,"114,571"
79292522,121,Services,"114,455"
45555157,135,Services,"114,257"
72626521,120,Services,"113,800"
54949520,133,Services,"113,551"
79292522,135,Services,"112,711"
27575845,132,Services,"112,547"
87373132,129,Services,"111,667"
55252101,122,Services,"111,603"
12727521,134,Services,"111,563"
55252101,132,Online Products,"111,104"
28585106,121,Services,"110,910"
70404109,129,Services,"110,221"
79292522,124,Services,"110,172"
87373132,138,Services,"109,913"
80707184,127,Services,"109,832"
70202603,127,Services,"109,789"
38686957,128,Services,"109,723"
72626521,126,Services,"109,372"
79292522,130,Services,"108,822"
8686522,127,Services,"108,786"
89393970,123,Services,"108,769"
97171523,137,Services,"108,268"
8686522,124,Services,"107,553"
54949520,130,Services,"107,256"
54949520,135,Services,"107,064"
83030594,127,Services,"106,676"
27575845,136,Services,"106,521"
89393970,134,Services,"106,398"
3333165,127,Services,"106,049"
31010882,120,Services,"105,637"
68484104,136,Services,"104,343"
18888143,138,Services,"104,279"
3333165,138,Services,"103,880"
69393112,136,Services,"103,816"
99696211,131,Online Products,"103,777"
18888143,135,Services,"102,861"
8686522,126,Services,"102,711"
70404109,130,Services,"102,595"
54949520,132,Services,"102,346"
55252101,131,Online Products,"102,218"
28282143,126,Services,"102,051"
99696211,133,Online Products,"100,196"
12727521,135,Services,"99,897"
18888143,121,Services,"99,835"
38686957,136,Services,"99,541"
38686957,130,Services,"99,489"
90404604,120,Services,"99,346"
18888143,136,Services,"99,209"
72828522,136,Online Products,"99,203"
28585106,128,Services,"99,081"
28585106,129,Services,"98,426"
55252101,123,Services,"98,403"
97171523,133,Services,"98,382"
98080522,127,Services,"98,300"
98080522,128,Services,"98,173"
68181520,135,Services,"98,086"
97878594,133,Services,"97,830"
38686957,133,Services,"97,577"
54747520,123,Services,"97,218"
54949520,126,Services,"96,993"
72626521,121,Services,"96,525"
27575845,128,Services,"96,476"
43838604,137,Services,"96,438"
83030594,124,Services,"96,285"
8686522,122,Services,"95,750"
74848132,124,Services,"95,637"
89393970,127,Services,"95,551"
81010132,136,Services,"95,429"
41313520,136,Services,"94,607"
70404109,137,Services,"94,243"
25555521,137,Services,"94,065"
89393970,131,Services,"93,732"
70404109,120,Services,"93,119"
99696211,132,Online Products,"93,049"
82525143,127,Services,"92,778"
99696211,130,Online Products,"92,567"
31515815,136,Services,"92,447"
72828522,129,Online Products,"92,267"
18888143,124,Services,"92,258"
54747520,138,Services,"92,232"
81010132,135,Services,"92,068"
79292522,138,Online Products,"91,995"
78787111,138,Services,"91,861"
38686957,126,Services,"91,595"
4545136,132,Services,"91,581"
87373132,131,Services,"91,468"
97171523,128,Services,"91,356"
89393970,136,Services,"91,235"
97878594,125,Services,"91,175"
72626521,128,Services,"91,084"
99696211,128,Online Products,"90,745"
28585106,133,Services,"90,496"
89393970,125,Services,"90,464"
12727521,138,Services,"90,400"
12929521,131,Services,"90,327"
28585106,131,Services,"90,197"
72828522,133,Online Products,"90,054"
37878111,138,Services,"90,029"
28585106,130,Services,"89,644"
22525115,138,Online Products,"89,198"
41010143,137,Services,"89,142"
8686141,135,Services,"89,080"
72828522,134,Online Products,"89,058"
72626521,137,Services,"88,856"
3333165,135,Services,"88,725"
8686141,131,Services,"88,490"
78787111,133,Services,"88,120"
28282143,124,Services,"87,490"
38686957,124,Services,"87,342"
70404109,135,Services,"87,187"
27575845,135,Services,"86,893"
31515815,130,Services,"86,400"
87373132,136,Services,"86,290"
45555157,125,Services,"86,229"
28282143,130,Services,"86,202"
79292522,137,Online Products,"85,759"
72828522,130,Online Products,"85,727"
18888143,134,Services,"84,960"
3333165,121,Services,"84,951"
90404604,127,Services,"84,305"
55252101,128,Online Products,"84,192"
18080129,136,Services,"84,079"
87373132,130,Services,"84,076"
72828522,125,Online Products,"83,883"
74848132,136,Services,"83,848"
45555157,136,Services,"83,697"
95353119,130,Services,"83,465"
67676520,124,Online Products,"83,344"
72828522,127,Online Products,"83,267"
54747520,129,Services,"83,188"
18080129,132,Services,"83,009"
32121521,135,Services,"82,775"
12929521,132,Services,"82,636"
3333165,131,Services,"82,575"
72828522,128,Online Products,"82,541"
28282143,136,Services,"82,206"
67676520,126,Services,"82,096"
72626521,123,Services,"82,014"
25555521,136,Services,"81,824"
82525143,121,Services,"81,800"
72828522,132,Online Products,"81,509"
68181520,125,Services,"80,870"
3333165,130,Services,"80,863"
72626521,138,Services,"80,745"
63333112,130,Services,"80,675"
72828522,126,Online Products,"80,489"
87373132,127,Services,"80,186"
70404109,131,Services,"79,906"
87373132,133,Services,"79,846"
81010132,138,Services,"79,838"
27575845,131,Services,"79,075"
28585106,125,Services,"79,037"
89393970,124,Services,"79,008"
89393970,121,Services,"78,957"
18888143,120,Services,"78,636"
66363165,136,Services,"78,593"
8686141,132,Services,"78,410"
74848132,120,Services,"78,305"
98080522,138,Services,"77,910"
98080522,135,Services,"77,828"
38686957,125,Services,"77,799"
78787111,135,Services,"77,726"
97171523,132,Services,"76,602"
97171523,125,Services,"76,539"
28282143,132,Services,"76,493"
31515815,129,Services,"76,450"
98080522,121,Services,"76,228"
84343952,137,Services,"76,202"
22525115,135,Online Products,"76,086"
87373132,132,Services,"75,779"
67676520,127,Services,"75,508"
28282143,138,Services,"75,369"
98080522,134,Services,"75,298"
72828522,131,Online Products,"75,129"
82525143,123,Services,"75,117"
69393112,135,Services,"74,942"
8686522,120,Services,"74,769"
81010132,131,Services,"74,711"
74848132,131,Services,"74,543"
18888143,133,Services,"74,450"
54747520,136,Services,"74,334"
72626521,136,Services,"74,090"
41313520,138,Online Products,"73,478"
22525115,137,Online Products,"73,191"
38686957,123,Services,"73,174"
97171523,131,Services,"73,086"
3333165,125,Services,"72,960"
87373132,125,Services,"72,952"
55252101,129,Online Products,"72,936"
80707184,128,Services,"72,514"
27575845,133,Services,"72,167"
14040147,138,Services,"71,924"
98080522,126,Services,"71,615"
74848132,127,Services,"71,547"
9797210,137,Services,"71,530"
97878594,128,Services,"71,263"
70404109,133,Services,"71,202"
4545136,135,Services,"71,155"
72828522,120,Online Products,"71,050"
12727521,131,Services,"70,943"
38686957,122,Services,"70,530"
80707184,129,Services,"70,360"
54949520,128,Services,"70,337"
97171523,127,Services,"70,171"
45555157,129,Services,"70,035"
80707184,130,Services,"69,524"
97171523,122,Services,"69,400"
38686957,127,Services,"69,384"
80707184,120,Services,"69,019"
99696211,129,Online Products,"68,961"
98080522,129,Services,"68,362"
72626521,135,Services,"68,286"
80707184,124,Services,"68,177"
95353119,135,Services,"68,096"
97878594,127,Services,"68,084"
12929521,136,Services,"67,952"
45555157,131,Services,"67,883"
70404109,127,Services,"67,883"
70404109,132,Services,"67,740"
27575845,124,Services,"67,137"
30303520,138,Services,"67,075"
31010882,125,Services,"66,974"
98080522,123,Services,"66,818"
70404109,125,Services,"66,695"
18888143,129,Services,"66,588"
28282143,135,Services,"66,472"
82525143,133,Services,"66,367"
55252101,130,Online Products,"66,299"
80707184,122,Services,"66,266"
69393112,133,Services,"66,259"
72828522,123,Online Products,"66,147"
28282143,134,Services,"65,988"
31515815,135,Services,"65,853"
87373132,134,Services,"65,799"
68484104,126,Services,"65,755"
72828522,124,Online Products,"65,697"
84343952,135,Services,"65,198"
72828522,138,Services,"65,157"
78787111,136,Services,"65,039"
28585106,127,Services,"64,956"
74848132,128,Services,"64,926"
80707184,126,Services,"64,645"
84343952,136,Online Products,"64,536"
67676520,125,Services,"64,485"
69393112,138,Services,"64,367"
28282143,133,Services,"64,315"
68484104,129,Services,"64,049"
28282143,127,Services,"63,961"
12929521,135,Services,"63,739"
54949520,127,Services,"63,687"
97171523,124,Services,"63,638"
45555157,120,Services,"63,624"
78787111,137,Services,"63,623"
95353119,136,Services,"63,242"
37878111,135,Services,"63,178"
67676520,138,Online Products,"63,125"
22525115,136,Online Products,"63,106"
98080522,122,Services,"62,967"
69393112,137,Services,"62,934"
90404604,128,Services,"62,896"
72828522,121,Online Products,"62,756"
79292522,133,Online Products,"62,737"
81010132,124,Services,"62,718"
39494140,120,Services,"62,702"
67676520,137,Online Products,"62,627"
67676520,135,Online Products,"62,475"
30303520,135,Services,"62,191"
97171523,130,Services,"61,984"
27575845,138,Services,"61,640"
31515815,137,Services,"61,156"
84343952,137,Online Products,"60,928"
79292522,135,Online Products,"60,891"
87373132,128,Services,"60,743"
8686141,127,Services,"60,726"
18888143,131,Services,"60,647"
8686141,123,Services,"60,530"
84343952,135,Online Products,"60,514"
66363165,137,Services,"60,499"
70202603,122,Services,"60,475"
93939111,120,Services,"58,968"
54949520,124,Services,"58,904"
54747520,128,Services,"58,559"
65757124,125,Services,"58,311"
3333165,133,Services,"58,064"
81010132,134,Services,"58,044"
67676520,124,Services,"57,982"
28585106,122,Services,"57,905"
71414953,122,Services,"57,849"
82525143,137,Services,"57,578"
90404604,126,Services,"57,428"
28282143,121,Services,"57,309"
67676520,136,Online Products,"57,241"
25757967,131,Services,"57,035"
83030594,131,Services,"56,869"
22525115,133,Online Products,"56,708"
66363165,134,Services,"56,631"
79292522,132,Online Products,"56,604"
67676520,129,Online Products,"56,495"
30707619,136,Services,"56,482"
27575845,134,Services,"56,466"
80707184,123,Services,"56,447"
97171523,123,Online Products,"56,289"
67676520,130,Online Products,"56,264"
30707619,138,Services,"56,245"
71414953,124,Services,"56,224"
55252101,127,Online Products,"55,989"
12727521,130,Services,"55,737"
4545136,130,Services,"55,714"
25555521,126,Services,"55,619"
99696211,126,Online Products,"55,614"
79292522,136,Online Products,"55,483"
80707184,133,Services,"55,460"
82424132,137,Services,"55,419"
22525115,126,Online Products,"55,325"
97171523,137,Online Products,"55,307"
66363165,135,Services,"55,307"
81010132,130,Services,"55,249"
31010882,137,Services,"55,231"
83030594,126,Services,"55,218"
39494140,133,Services,"55,172"
81010132,129,Services,"55,161"
65757124,129,Services,"54,987"
70404109,128,Services,"54,941"
14040147,123,Services,"54,938"
72828522,122,Online Products,"54,932"
18080129,137,Services,"54,914"
74848132,122,Services,"54,885"
98080522,125,Services,"54,499"
97171523,133,Online Products,"54,349"
28282143,120,Services,"53,975"
71414953,131,Services,"53,889"
99696211,127,Online Products,"53,357"
3333165,129,Services,"53,322"
45555157,127,Services,"53,312"
3333165,126,Services,"53,030"
70404109,123,Services,"53,004"
80707184,134,Services,"52,928"
67676520,128,Online Products,"52,824"
81010132,123,Services,"52,734"
81010132,125,Services,"52,611"
43838604,136,Services,"52,540"
41313520,137,Online Products,"52,524"
84646844,135,Services,"52,456"
28282143,123,Services,"52,142"
97171523,128,Online Products,"51,815"
70404109,121,Services,"51,553"
98181961,135,Services,"51,374"
97171523,132,Online Products,"51,373"
70202603,125,Services,"51,288"
54747520,132,Services,"51,235"
78787111,132,Services,"50,688"
42121111,129,Services,"50,555"
98080522,133,Services,"50,547"
74242614,137,Services,"50,511"
78787111,121,Services,"50,335"
28282143,129,Services,"50,240"
95353119,129,Services,"50,193"
55252101,124,Services,"50,192"
83030594,122,Services,"50,187"
54949520,122,Services,"49,874"
95353119,126,Services,"49,842"
68484104,135,Services,"49,598"
25555521,132,Services,"49,547"
43838604,133,Services,"49,507"
83030594,125,Services,"49,489"
39494140,135,Services,"49,458"
97171523,126,Online Products,"49,403"
29393604,126,Services,"49,251"
12929521,121,Services,"49,249"
30606604,138,Online Products,"49,111"
84343952,134,Online Products,"49,068"
74848132,126,Services,"48,987"
54949520,123,Services,"48,916"
82525143,126,Services,"48,907"
81010132,127,Services,"48,866"
97171523,123,Services,"48,736"
25555521,127,Services,"48,688"
97171523,136,Online Products,"48,667"
29393604,133,Services,"48,557"
84343952,134,Services,"48,381"
97878594,121,Services,"48,321"
4545136,137,Services,"48,207"
70404109,124,Services,"48,199"
63333112,138,Services,"48,120"
8686141,128,Services,"48,089"
22525115,132,Online Products,"48,073"
30303520,136,Services,"47,943"
34343132,130,Services,"47,929"
82525143,129,Services,"47,786"
80707184,138,Services,"47,753"
81010132,133,Services,"47,673"
98080522,120,Services,"47,659"
12929521,134,Services,"47,481"
31010882,136,Services,"47,406"
63333112,134,Services,"47,378"
25757967,133,Services,"47,267"
95353119,121,Services,"47,232"
97171523,120,Online Products,"47,121"
12929521,133,Services,"47,061"
3333165,122,Services,"46,964"
22525115,134,Online Products,"46,852"
4545136,125,Services,"46,788"
29393604,128,Services,"46,594"
68484104,130,Services,"46,250"
18080129,133,Services,"46,116"
70404109,126,Services,"46,041"
37878111,123,Services,"46,008"
69393112,131,Services,"45,776"
82525143,122,Services,"45,656"
55252101,120,Services,"45,587"
22525115,128,Online Products,"45,483"
81010132,121,Services,"45,432"
28686156,134,Services,"45,344"
18888143,128,Services,"45,225"
87373132,121,Services,"45,201"
70202603,123,Services,"45,178"
81010132,137,Services,"45,177"
12727521,132,Services,"45,052"
67676520,122,Services,"45,000"
42121111,133,Services,"44,914"
97171523,135,Online Products,"44,591"
81010132,128,Services,"44,402"
8686141,126,Services,"44,329"
30606604,137,Online Products,"44,095"
90404604,129,Services,"43,917"
41010143,134,Services,"43,871"
67676520,134,Online Products,"43,820"
37878111,134,Services,"43,748"
83030594,130,Services,"43,677"
68181520,127,Services,"43,657"
54747520,135,Services,"43,560"
22525115,130,Online Products,"43,506"
22525115,124,Online Products,"43,492"
8686141,129,Services,"43,483"
8686141,134,Services,"43,456"
97171523,134,Online Products,"43,410"
30606604,136,Online Products,"43,407"
43838604,131,Services,"43,359"
80707184,136,Services,"43,314"
55252101,121,Services,"43,258"
87373132,124,Services,"42,797"
31010882,121,Services,"42,675"
18888143,123,Services,"42,616"
97171523,130,Online Products,"42,415"
91111603,137,Services,"42,407"
25555521,138,Services,"42,394"
30707619,133,Services,"42,380"
84343952,133,Services,"42,350"
82828155,138,Services,"42,225"
45555157,124,Services,"42,158"
42525961,138,Services,"41,888"
82525143,130,Services,"41,739"
97171523,122,Online Products,"41,640"
54747520,121,Services,"41,586"
82525143,128,Services,"41,560"
97171523,138,Online Products,"41,531"
22525115,131,Online Products,"41,499"
8383524,134,Services,"41,479"
97878594,122,Services,"41,255"
82525143,136,Services,"41,220"
79292522,130,Online Products,"41,202"
80707184,135,Services,"41,166"
37878111,133,Services,"41,079"
37878111,136,Services,"40,940"
82525143,138,Services,"40,930"
54949520,132,Online Products,"40,748"
99696211,125,Online Products,"40,713"
8686141,138,Services,"40,673"
98080522,136,Services,"40,585"
82828155,126,Services,"40,573"
9797210,138,Services,"40,560"
81010132,126,Services,"40,558"
97171523,124,Online Products,"40,489"
37878111,121,Services,"40,487"
27575845,129,Services,"40,265"
97171523,127,Online Products,"40,254"
37878111,128,Services,"40,185"
97171523,125,Online Products,"40,033"
83030594,137,Services,"40,009"
68181520,126,Services,"39,978"
31515815,135,Online Products,"39,899"
55252101,126,Online Products,"39,769"
31515815,137,Online Products,"39,660"
22525115,127,Online Products,"39,650"
78787111,122,Services,"39,601"
68181520,133,Services,"39,593"
3333165,136,Services,"39,560"
63232104,136,Services,"39,554"
84343952,129,Services,"39,412"
25555521,134,Services,"39,409"
82525143,125,Services,"39,321"
10808940,128,Services,"39,251"
83030594,135,Services,"39,196"
25757967,136,Services,"39,150"
82525143,124,Services,"39,148"
84646844,131,Services,"39,108"
68484104,125,Services,"39,097"
2020106,132,Services,"39,050"
90404604,138,Services,"38,999"
65757124,127,Services,"38,923"
54747520,130,Services,"38,812"
67676520,120,Services,"38,765"
82525143,132,Services,"38,651"
22525115,121,Online Products,"38,651"
95353119,123,Services,"38,560"
93939111,135,Services,"38,550"
3333165,123,Services,"38,430"
18888143,122,Services,"38,398"
84343952,136,Services,"38,222"
18080129,135,Services,"38,198"
74848132,125,Services,"38,104"
68484104,123,Services,"38,031"
25757967,124,Services,"38,014"
79292522,128,Online Products,"38,011"
87373132,126,Services,"37,993"
8383524,128,Services,"37,911"
69797108,137,Services,"37,897"
97171523,131,Online Products,"37,886"
22525115,123,Online Products,"37,873"
84343952,138,Online Products,"37,869"
3333165,132,Services,"37,832"
29393604,125,Services,"37,784"
63333112,136,Services,"37,553"
68484104,120,Services,"37,536"
90404604,123,Services,"37,267"
32121521,131,Services,"37,261"
68181520,131,Services,"37,227"
79292522,134,Online Products,"37,202"
43838604,120,Services,"37,183"
82424132,132,Services,"37,096"
63333112,128,Services,"37,078"
83030594,121,Services,"37,053"
32828134,121,Services,"37,030"
71414953,128,Services,"36,952"
97171523,129,Online Products,"36,872"
18888143,127,Services,"36,856"
68484104,131,Services,"36,820"
97171523,120,Services,"36,708"
8686141,130,Services,"36,668"
58585974,133,Services,"36,665"
18080129,123,Services,"36,593"
32121521,130,Services,"36,567"
27575845,123,Services,"36,373"
41313520,127,Services,"36,370"
30303520,137,Services,"36,350"
41313520,133,Services,"36,306"
22525115,125,Online Products,"36,296"
45555157,126,Services,"36,279"
8686141,133,Services,"36,263"
25555521,124,Services,"36,254"
98585975,131,Services,"36,143"
31515815,138,Online Products,"36,133"
45555157,128,Services,"35,994"
24848112,137,Services,"35,979"
30303520,131,Services,"35,793"
71515614,137,Services,"35,718"
84646844,130,Services,"35,706"
41313520,136,Online Products,"35,684"
67676520,127,Online Products,"35,629"
87373132,123,Services,"35,590"
97575124,136,Services,"35,450"
4545136,136,Services,"35,427"
27575845,130,Services,"35,337"
41313520,134,Online Products,"35,125"
79292522,131,Online Products,"35,099"
90404604,137,Services,"35,033"
43838604,124,Services,"35,000"
95353119,134,Services,"34,996"
67676520,131,Online Products,"34,806"
12929521,122,Services,"34,771"
22525115,120,Online Products,"34,754"
97171523,121,Online Products,"34,727"
72828522,138,Online Products,"34,705"
22525115,129,Online Products,"34,653"
83030594,133,Services,"34,622"
31010882,131,Services,"34,599"
71414953,126,Services,"34,580"
83030594,129,Services,"34,526"
94949603,138,Services,"34,338"
18080129,124,Services,"34,279"
58585974,131,Services,"34,164"
34343132,134,Services,"34,163"
91111110,134,Services,"34,151"
86767603,137,Services,"34,038"
42525961,136,Services,"34,004"
69393112,134,Services,"33,972"
66363165,132,Services,"33,810"
10808940,129,Services,"33,754"
87373132,120,Services,"33,662"
83030594,136,Services,"33,650"
31515815,136,Online Products,"33,632"
81010132,120,Services,"33,629"
74848132,123,Services,"33,623"
70404109,122,Services,"33,586"
80707184,132,Services,"33,470"
67676520,126,Online Products,"33,459"
31010882,122,Services,"33,452"
68484104,137,Services,"33,410"
90404604,121,Services,"33,317"
75858109,137,Services,"33,262"
84646844,137,Services,"33,232"
87373132,122,Services,"33,178"
37878111,132,Services,"33,154"
67676520,133,Online Products,"33,138"
45555157,123,Services,"33,136"
78787111,127,Services,"33,108"
41313520,135,Online Products,"33,035"
68484104,138,Services,"32,912"
18080129,129,Services,"32,790"
30606604,133,Online Products,"32,742"
97575124,137,Services,"32,577"
22525115,122,Online Products,"32,572"
80707184,137,Services,"32,560"
82828155,123,Services,"32,525"
42121111,126,Services,"32,420"
47979520,136,Services,"32,277"
30606604,135,Online Products,"32,250"
54949520,136,Online Products,"32,143"
32121521,136,Services,"32,091"
