Account_No,Month_ID,Product_Category,Target
12929521,143,Online Products,359037
79292522,138,Online Products,356265.84
30606604,142,Services,353672.76
25555521,141,Online Products,352914.24
97171523,140,Online Products,352357.32
12727521,140,Online Products,351305.64
72828522,139,Services,348804.12
8686522,132,Online Products,344688.12
18888143,140,Online Products,342084.12
12929521,142,Online Products,341027.4
12727521,141,Online Products,340859.4
97171523,142,Services,340794.72
18888143,141,Online Products,334302.36
25555521,140,Online Products,333727.8
97171523,141,Online Products,330821.4
31515815,143,Online Products,328911.24
28585106,142,Online Products,323879.64
72828522,132,Online Products,323553.72
72828522,138,Services,323550.36
89393970,140,Online Products,323441.16
70202603,139,Online Products,322365.96
27575845,143,Online Products,320645.64
31515815,142,Online Products,315507.36
89393970,141,Online Products,314582.52
12727521,138,Online Products,313550.16
38686957,134,Online Products,312876.48
79292522,143,Services,311904.6
72626521,143,Online Products,311109.12
93939111,137,Online Products,307544.076
98080522,143,Online Products,306731.88
70202603,138,Online Products,305801.16
38686957,133,Online Products,305797.8
87373132,141,Online Products,305349.24
27575845,142,Online Products,304796.52
18888143,138,Online Products,304318.56
95353119,141,Online Products,303460.92
54949520,137,Online Products,303228.66
97878594,134,Online Products,302550.36
41313520,143,Online Products,299505.36
74848132,141,Online Products,298978.68
70404109,134,Online Products,297374.28
12727521,139,Online Products,297171.84
98080522,140,Online Products,296778.72
97878594,133,Online Products,296461.2
72626521,142,Online Products,296005.08
55252101,134,Services,294761.04
67676520,134,Online Products,293784.96
70202603,140,Services,293425.44
79292522,142,Services,290933.16
70404109,133,Online Products,290660.16
67676520,133,Online Products,290311.56
18888143,139,Online Products,289134.72
89393970,138,Online Products,288361.92
87373132,140,Online Products,288261.12
28585106,140,Online Products,287713.44
95353119,140,Online Products,286904.52
41313520,142,Online Products,285889.8
3333165,143,Online Products,284497.08
74848132,140,Online Products,283079.16
30606604,141,Services,282618
8686141,137,Online Products,281750.112
72626521,140,Online Products,280706.16
28585106,141,Online Products,280579.32
55252101,133,Services,279259.68
97171523,139,Online Products,277499.04
12929521,141,Online Products,276523.8
89393970,139,Online Products,273525.84
93939111,136,Online Products,272955.06
97171523,141,Services,272327.16
98080522,142,Online Products,270775.68
3333165,142,Online Products,269759.28
93939111,135,Online Products,268145.556
54949520,136,Online Products,267844.248
38686957,132,Online Products,267374.52
79292522,134,Online Products,267244.32
98080522,138,Online Products,266155.68
99696211,134,Services,265817.16
54949520,135,Online Products,265283.844
79292522,133,Online Products,263849.04
97171523,138,Online Products,263248.44
30606604,140,Services,263049.36
12929521,140,Online Products,261358.44
31515815,143,Services,261227.4
25555521,139,Online Products,261170.28
54949520,143,Online Products,259111.44
55252101,132,Services,258231.96
97878594,132,Online Products,258007.68
31515815,141,Online Products,257817.84
67676520,140,Services,257178.6
28585106,138,Online Products,256197.48
97171523,140,Services,253470.84
70404109,132,Online Products,253208.76
72828522,143,Support,252894.6
99696211,133,Services,251837.88
98080522,139,Online Products,251348.16
8686141,136,Online Products,250201.308
68181520,143,Online Products,249005.4
67676520,132,Online Products,248781.96
30606604,137,Online Products,248226.384
30606604,136,Online Products,248226.384
30606604,135,Online Products,248226.384
27575845,141,Online Products,247296.84
25555521,138,Online Products,246079.68
31515815,140,Online Products,245623.56
8686141,135,Online Products,245583.156
67676520,143,Services,245243.88
99696211,143,Support,244174.56
31515815,142,Services,243663
8686141,143,Online Products,243453
28585106,139,Online Products,243238.8
72626521,141,Online Products,240339.12
72828522,142,Support,239623.44
68181520,142,Online Products,236689.32
82525143,143,Online Products,235716.6
70202603,134,Online Products,234884.16
27575845,140,Online Products,233882.04
70202603,133,Online Products,233288.16
99696211,132,Services,232875.72
41313520,141,Online Products,232719.48
98080522,141,Online Products,232513.68
79292522,141,Services,232482.6
12727521,134,Online Products,232316.28
99696211,142,Support,231361.2
67676520,142,Services,228754.68
97171523,143,Support,227585.4
12727521,133,Online Products,227250.24
54949520,142,Online Products,226574.88
79292522,132,Online Products,226476.6
70202603,139,Services,226383.36
87373132,139,Online Products,225251.04
18888143,134,Online Products,224946.12
95353119,139,Online Products,224486.64
68181520,140,Online Products,224368.2
82525143,142,Online Products,223749.12
69393112,143,Online Products,223172.04
74848132,139,Online Products,221778.48
41313520,140,Online Products,220841.88
55252101,137,Services,220710.252
55252101,136,Services,220710.252
55252101,135,Services,220710.252
72626521,139,Online Products,219848.16
18888143,133,Online Products,219741.48
8686141,142,Online Products,219197.16
3333165,141,Online Products,218435.28
55252101,137,Online Products,218169.84
55252101,136,Online Products,218169.84
55252101,135,Online Products,218169.84
79292522,140,Services,216385.68
97171523,142,Support,215643.12
8686522,137,Services,213930.108
89393970,134,Online Products,213485.16
69393112,142,Online Products,213108.84
87373132,138,Online Products,211890.84
93939111,140,Online Products,211619.52
95353119,138,Online Products,211474.2
70202603,138,Services,209993.28
72828522,134,Services,209611.92
74848132,138,Online Products,209214.6
89393970,133,Online Products,208734.12
72626521,138,Online Products,207319.56
3333165,140,Online Products,206162.88
12929521,139,Online Products,204444.24
54949520,140,Online Products,203522.76
70202603,143,Services,203396.76
30606604,139,Services,202947.36
97171523,134,Online Products,202244.28
97171523,133,Online Products,200880.96
99696211,137,Services,199037.496
99696211,136,Services,199037.496
99696211,135,Services,199037.496
72828522,133,Services,198587.76
67676520,139,Services,198418.08
70202603,132,Online Products,198056.88
98080522,134,Online Products,197872.92
12727521,132,Online Products,197142.96
97171523,139,Services,195557.88
72828522,140,Support,195258.84
31515815,141,Services,194709.48
8686141,140,Online Products,194364.24
98080522,133,Online Products,193939.2
72828522,141,Support,193923.24
31515815,139,Online Products,193483.08
54949520,141,Online Products,193478.04
12929521,138,Online Products,192538.08
8686522,136,Services,192348.744
68181520,141,Online Products,192033.24
18888143,132,Online Products,192008.88
81010132,140,Online Products,191383.92
8686141,141,Online Products,190367.52
8686522,143,Services,189865.2
81010132,143,Online Products,189750.96
70202603,142,Services,189720.72
28585106,134,Online Products,189507.36
93939111,138,Online Products,188302.8
30606604,138,Services,188254.08
99696211,141,Support,187236.84
28585106,133,Online Products,185196.48
8686522,135,Services,184783.2
97171523,140,Support,184080.96
67676520,138,Services,184052.4
72828522,132,Services,183634.92
31515815,138,Online Products,183589.56
54949520,138,Online Products,183324.12
27575845,139,Online Products,183053.64
22525115,137,Services,182898.24
67676520,141,Services,182796.6
28282143,143,Online Products,182454.72
8686522,142,Services,182191.8
89393970,132,Online Products,181518.96
97171523,138,Services,181398.84
82525143,141,Online Products,181335.84
31515815,140,Services,181228.32
99696211,140,Support,180831.84
81010132,142,Online Products,180289.2
25555521,134,Online Products,180147.24
93939111,139,Online Products,178874.64
72828522,137,Online Products,177301.908
72828522,136,Online Products,177301.908
72828522,135,Online Products,177301.908
25555521,133,Online Products,176735.16
68181520,139,Online Products,175602.84
28282143,142,Online Products,175169.4
28282143,143,Services,174978.72
97171523,141,Support,174515.88
38686957,137,Online Products,174415.92
38686957,136,Online Products,174415.92
38686957,135,Online Products,174415.92
69393112,141,Online Products,173526.36
41313520,139,Online Products,173363.4
93939111,143,Online Products,173224.8
8686141,138,Online Products,172739.28
54949520,139,Online Products,172557
27575845,138,Online Products,172497.36
45555157,140,Online Products,171340.68
82525143,140,Online Products,171301.2
97171523,132,Online Products,170526.72
63333112,143,Online Products,167099.52
79292522,139,Services,166945.8
98080522,132,Online Products,166493.04
78787111,143,Online Products,166031.04
68181520,138,Online Products,165472.44
69393112,140,Online Products,164721.48
22525115,136,Services,164447.052
19292522,143,Online Products,164386.32
8686141,139,Online Products,164243.52
41313520,138,Online Products,163893.24
97878594,137,Online Products,163838.724
97878594,136,Online Products,163838.724
97878594,135,Online Products,163838.724
8686522,141,Services,163733.64
28282143,142,Services,163213.68
22525115,143,Services,162324.12
45555157,138,Online Products,162314.88
28585106,132,Online Products,161481.6
3333165,139,Online Products,161064.12
28282143,140,Online Products,160503.84
63333112,142,Online Products,159713.4
45555157,139,Online Products,158767.56
22525115,135,Services,157979.64
78787111,142,Online Products,157766.28
8686522,140,Services,157120.32
72828522,137,Services,156952.908
72828522,136,Services,156952.908
72828522,135,Services,156952.908
19292522,142,Online Products,156331.56
22525115,142,Services,155763.72
93939111,142,Online Products,155526
79292522,138,Services,154858.2
95353119,134,Online Products,154594.44
74848132,134,Online Products,154496.16
25555521,132,Online Products,153471.36
87373132,134,Online Products,153279
72626521,134,Online Products,152706.96
72828522,139,Support,152465.88
74848132,133,Online Products,151916.52
95353119,133,Online Products,151609.92
70202603,141,Services,151604.04
3333165,138,Online Products,151477.2
67676520,143,Support,150730.44
72626521,133,Online Products,150056.76
87373132,133,Online Products,149899.68
81010132,139,Online Products,149741.76
81010132,141,Online Products,146224.68
98080522,137,Support,145107.648
97171523,139,Support,143738.28
67676520,137,Online Products,143516.856
67676520,136,Online Products,143516.856
67676520,135,Online Products,143516.856
28282143,141,Online Products,143496.36
72828522,138,Support,143309.88
67676520,142,Support,142821
41313520,143,Services,142360.68
31515815,134,Online Products,141272.88
99696211,139,Support,141201.48
81010132,138,Online Products,141057
12929521,134,Online Products,140455.56
31515815,133,Online Products,140376.6
84343952,143,Services,140086.8
22525115,141,Services,139982.64
31515815,139,Services,139820.52
93939111,134,Online Products,139214.04
45555157,143,Online Products,137876.76
12929521,133,Online Products,137666.76
41313520,143,Support,137227.44
54949520,134,Online Products,136713.36
30606604,143,Support,136193.4
70202603,134,Services,136043.88
93939111,133,Online Products,136006.92
8686522,138,Services,135504.6
55252101,143,Support,135444.12
97171523,138,Support,135106.44
68484104,143,Online Products,134926.68
93939111,141,Online Products,134851.92
22525115,140,Services,134328.6
54949520,133,Online Products,134233.68
82525143,139,Online Products,133935.48
41313520,142,Services,132788.04
99696211,138,Support,132721.68
79292522,137,Online Products,132058.584
79292522,136,Online Products,132058.584
79292522,135,Online Products,132058.584
32121521,137,Online Products,131842.956
8686522,139,Services,131791.8
95353119,132,Online Products,131743.08
25555521,143,Support,131444.88
74848132,132,Online Products,131370.96
80707184,143,Services,131285.28
87373132,132,Online Products,130924.08
84343952,142,Services,130667.88
45555157,142,Online Products,130598.16
28282143,141,Services,130423.44
63333112,141,Online Products,130143.72
41313520,142,Support,130026.12
72626521,132,Online Products,129921.12
31515815,138,Services,129697.68
69393112,139,Online Products,129343.2
68484104,142,Online Products,129130.68
30606604,142,Support,129046.68
70202603,133,Services,128889.6
98080522,136,Support,128857.008
54949520,137,Services,128414.328
55252101,142,Support,128336.04
78787111,141,Online Products,127966.44
74848132,143,Support,127638.84
8686141,134,Online Products,127606.92
28282143,139,Online Products,126886.2
19292522,141,Online Products,126884.52
98080522,137,Services,126505.092
98080522,135,Support,126469.392
27575845,134,Online Products,126393.12
82525143,138,Online Products,126072.24
8686141,133,Online Products,124602.24
25555521,142,Support,124546.8
27575845,133,Online Products,124029.36
63333112,140,Online Products,123632.88
41313520,134,Online Products,122900.4
80707184,142,Services,122457.72
69393112,138,Online Products,122314.08
30606604,134,Services,121960.44
45555157,141,Online Products,121947.84
28282143,140,Services,121392.6
41313520,133,Online Products,121328.76
68181520,134,Online Products,121223.76
78787111,140,Online Products,120988.56
74848132,142,Support,120940.68
83030594,137,Online Products,120764.532
28282143,138,Online Products,120539.16
19292522,140,Online Products,120045.24
12929521,132,Online Products,119749.56
67676520,134,Services,119238
70202603,132,Services,119184.24
31515815,132,Online Products,119076.72
68181520,133,Online Products,118949.88
93939111,132,Online Products,118778.52
45555157,137,Online Products,117617.22
97171523,134,Services,117519.36
32121521,136,Online Products,117068.868
71414953,143,Online Products,116093.88
22525115,138,Services,115848.6
67676520,141,Support,115582.32
30606604,133,Services,115546.2
54949520,136,Services,115459.512
32121521,135,Online Products,114914.016
74848132,143,Services,114194.64
54949520,132,Online Products,114144.24
54949520,143,Services,113969.52
32121521,143,Online Products,113936.76
98080522,136,Services,113743.056
54747520,140,Online Products,113321.04
67676520,133,Services,112967.4
22525115,139,Services,112674.24
97878594,143,Services,112402.08
69393112,143,Services,111652.8
97171523,133,Services,111338.64
54949520,135,Services,110919.9
71414953,142,Online Products,110319.72
3333165,134,Online Products,109392.36
54949520,142,Services,109363.8
98080522,135,Services,109270.56
8686141,132,Online Products,109132.8
67676520,140,Support,109024.44
27575845,132,Online Products,107656.08
83030594,136,Online Products,107234.232
70202603,137,Online Products,107205.672
70202603,136,Online Products,107205.672
70202603,135,Online Products,107205.672
3333165,133,Online Products,106932.84
30606604,132,Services,106846.32
74848132,142,Services,106516.2
41313520,141,Services,106110.48
80707184,143,Online Products,105699.72
68484104,141,Online Products,105330.12
83030594,135,Online Products,105257.88
41313520,141,Support,105228.48
97878594,142,Services,104844.6
67676520,132,Services,104461.56
45555157,136,Online Products,104448.204
30606604,141,Support,104435.52
84343952,141,Services,104415.36
83030594,143,Online Products,104365.8
30303520,137,Online Products,104204.016
41313520,132,Online Products,104159.16
69393112,142,Services,104144.88
55252101,141,Support,103860.96
68181520,132,Online Products,103257
66363165,143,Online Products,103102.44
81010132,134,Online Products,103086.48
72828522,134,Support,103059.6
97171523,132,Services,102955.44
98080522,143,Support,102594.24
32121521,142,Online Products,102551.4
45555157,135,Online Products,102520.404
72626521,143,Services,102128.88
80707184,142,Online Products,102090.24
70202603,137,Services,101866.38
70202603,136,Services,101866.38
70202603,135,Services,101866.38
81010132,133,Online Products,101088.96
8686522,137,Support,101016.72
25555521,141,Support,100794.12
72828522,133,Support,100628.64
79292522,134,Services,100324.56
68484104,140,Online Products,100164.12
98080522,140,Support,100124.64
84949133,143,Online Products,99704.64
41313520,140,Support,99257.76
41313520,140,Services,98763
30606604,140,Support,98509.32
54949520,141,Services,98283.36
22525115,137,Support,98280.672
66363165,142,Online Products,97980.96
55252101,140,Support,97967.52
8686522,134,Services,97896.96
74848132,141,Support,97875.12
80707184,141,Services,97854.96
84343952,140,Services,97185.48
97171523,134,Support,97160.28
63333112,139,Online Products,97143.48
25555521,137,Online Products,96187.224
25555521,136,Online Products,96187.224
25555521,135,Online Products,96187.224
99696211,134,Support,95445
72626521,142,Services,95261.88
25555521,140,Support,95074.56
79292522,133,Services,95048.52
97171523,133,Support,94867.92
84949133,142,Online Products,94809.12
78787111,139,Online Products,94669.68
98080522,143,Services,94484.88
8686522,133,Services,94345.44
54949520,140,Services,94313.52
19292522,139,Online Products,93986.76
83030594,142,Online Products,93943.92
63333112,143,Services,93685.2
28282143,139,Services,93656.64
3333165,132,Online Products,93472.68
99696211,133,Support,93193.8
98080522,140,Services,92911.56
30303520,136,Online Products,92742.888
98080522,142,Support,92379.84
74848132,140,Support,92321.88
97171523,137,Online Products,92238.804
97171523,136,Online Products,92238.804
97171523,135,Online Products,92238.804
30303520,135,Online Products,91988.904
63333112,138,Online Products,91928.76
69393112,134,Online Products,91912.8
82525143,134,Online Products,91628.04
28282143,134,Online Products,91478.52
30606604,137,Services,91320.6
30606604,136,Services,91320.6
30606604,135,Services,91320.6
80707184,140,Services,91079.52
28282143,133,Online Products,90952.68
32121521,140,Online Products,90936.72
69393112,133,Online Products,90785.52
98080522,142,Services,90666.24
50909134,143,Services,90606.6
25555521,143,Services,89890.08
82525143,133,Online Products,89720.4
8686522,136,Support,89704.104
71414953,141,Online Products,89485.2
67676520,137,Services,89282.844
67676520,136,Services,89282.844
67676520,135,Services,89282.844
78787111,138,Online Products,89184.48
32121521,141,Online Products,89045.04
98080522,138,Support,88972.8
54747520,139,Online Products,88887.12
19292522,138,Online Products,88598.16
8686522,132,Services,88362.12
72828522,132,Support,88142.88
8686522,135,Support,88041.912
97171523,137,Services,87996.216
97171523,136,Services,87996.216
97171523,135,Services,87996.216
79292522,132,Services,87891.72
81010132,132,Online Products,87854.76
63333112,142,Services,87386.04
22525115,136,Support,87273.648
68484104,143,Services,86982
28282143,138,Services,86876.16
12727521,137,Support,86051.28
30303520,143,Online Products,86047.08
22525115,135,Support,85657.152
67676520,139,Support,85131.48
74848132,141,Services,85116.36
22525115,143,Support,84946.68
87373132,137,Online Products,84881.748
87373132,136,Online Products,84881.748
87373132,135,Online Products,84881.748
71414953,140,Online Products,84609
98080522,139,Support,84603.96
50909134,142,Services,84514.08
31515815,134,Services,84024.36
54747520,138,Online Products,83958.84
80707184,141,Online Products,83868.12
25555521,142,Services,83846.28
97878594,141,Services,83780.76
22525115,134,Services,83695.92
83030594,140,Online Products,83301.12
69393112,141,Services,83222.16
97171523,132,Support,83097.84
95353119,137,Online Products,82906.824
95353119,136,Online Products,82906.824
95353119,135,Online Products,82906.824
4545136,137,Online Products,82428.444
79797604,143,Online Products,82304.88
99696211,132,Support,81630.36
83030594,141,Online Products,81574.92
98080522,141,Services,81480.84
54949520,138,Services,81338.88
54747520,143,Online Products,81327.12
68484104,142,Services,81133.08
32121521,138,Online Products,80823.12
22525115,133,Services,80660.16
80707184,140,Online Products,80332.56
74848132,137,Online Products,80280.732
74848132,136,Online Products,80280.732
74848132,135,Online Products,80280.732
98080522,141,Support,80231.76
98080522,138,Services,80129.28
67676520,138,Support,80018.4
72626521,137,Online Products,79990.848
72626521,136,Online Products,79990.848
72626521,135,Online Products,79990.848
31515815,133,Services,79605.96
66363165,141,Online Products,79480.8
74848132,140,Services,79222.92
54949520,139,Services,79109.52
68484104,139,Online Products,78775.2
87373132,143,Support,78608.04
79797604,142,Online Products,78263.64
82525143,132,Online Products,78183.84
97878594,140,Services,77979.72
84343952,143,Online Products,77958.72
98080522,139,Services,77933.52
69393112,132,Online Products,77862.12
54747520,142,Online Products,77542.08
41313520,139,Support,77504.28
69393112,140,Services,77459.76
28282143,132,Online Products,77067.48
84949133,141,Online Products,76944.84
30606604,139,Support,76920.48
32121521,139,Online Products,76844.04
55252101,139,Support,76497.12
22525115,142,Support,76489.56
30303520,142,Online Products,76428.24
12727521,136,Support,76413.708
41313520,139,Services,76198.08
8686522,143,Support,76191.36
72626521,141,Services,76123.32
84343952,142,Online Products,75936
12929521,137,Online Products,75813.948
12929521,136,Online Products,75813.948
12929521,135,Online Products,75813.948
22525115,132,Services,75544.56
66363165,140,Online Products,75153.12
79292522,137,Services,75121.368
79292522,136,Services,75121.368
79292522,135,Services,75121.368
12727521,135,Support,74998.56
84343952,139,Services,74980.92
68484104,138,Online Products,74618.88
87373132,142,Support,74483.64
12727521,143,Support,74376.12
25555521,139,Support,74238.36
75858109,137,Online Products,74078.928
83030594,138,Online Products,74035.08
31515815,132,Services,73611.72
4545136,136,Online Products,73333.512
41313520,138,Support,72849.84
41111143,143,Online Products,72804.48
84949133,140,Online Products,72791.88
96464132,137,Online Products,72619.512
4545136,135,Online Products,72600.948
30606604,138,Support,72301.32
74848132,139,Support,72088.8
55252101,138,Support,71903.16
12727521,137,Services,71468.544
95353119,143,Services,71037.12
63636160,143,Services,70977.48
72626521,140,Services,70852.32
41313520,138,Services,70680.96
83030594,139,Online Products,70391.16
80707184,139,Services,70269.36
63333112,141,Services,69829.2
25555521,138,Support,69780.48
8686522,140,Support,69702.36
84343952,138,Services,69552
63333112,134,Online Products,69426
30303520,140,Online Products,69343.68
41111143,142,Online Products,69258.84
63333112,133,Online Products,68661.6
4545136,143,Online Products,68634.72
8686522,142,Support,68606.16
34343132,137,Online Products,68502.588
22525115,140,Support,67814.04
74848132,138,Support,67759.44
50909134,141,Services,67534.32
27575845,137,Online Products,67298.784
27575845,136,Online Products,67298.784
27575845,135,Online Products,67298.784
25555521,141,Services,67000.92
12727521,142,Support,66971.52
14040147,137,Online Products,66551.94
22525115,141,Support,66430.56
95353119,142,Services,66260.88
27575845,143,Services,66211.32
71414953,139,Online Products,66206.28
63636160,142,Services,66205.44
30303520,141,Online Products,66102.12
28686156,137,Online Products,66089.268
98080522,134,Support,65714.88
75858109,136,Online Products,65668.008
78787111,134,Online Products,65210.04
80707184,138,Services,65182.32
19292522,134,Online Products,65084.88
63333112,140,Services,64994.16
68484104,141,Services,64832.88
75858109,135,Online Products,64645.56
68181520,137,Online Products,64582.728
68181520,136,Online Products,64582.728
68181520,135,Online Products,64582.728
96464132,136,Online Products,64468.488
12727521,136,Services,64258.572
98080522,133,Support,64164.24
31515815,137,Online Products,64072.932
31515815,136,Online Products,64072.932
31515815,135,Online Products,64072.932
78787111,133,Online Products,63955.08
19292522,133,Online Products,63909.72
75858109,143,Online Products,63787.92
80707184,139,Online Products,63576.24
79797604,141,Online Products,63516.6
12727521,143,Services,63429.24
96464132,135,Online Products,63304.668
54747520,141,Online Products,63064.68
30303520,138,Online Products,62963.88
31515815,137,Services,62916.252
31515815,136,Services,62916.252
31515815,135,Services,62916.252
68181520,143,Services,62877.36
50909134,140,Services,62858.88
84343952,141,Online Products,62784.96
96464132,143,Online Products,62728.68
54747520,134,Online Products,62572.44
71414953,138,Online Products,62372.52
25555521,140,Services,62361.6
54747520,143,Services,61994.52
8686522,138,Support,61938.24
27575845,142,Services,61759.32
12727521,135,Services,61731.012
54747520,133,Online Products,61674.48
18080129,137,Online Products,61139.82
74848132,139,Services,61122.6
4545136,142,Online Products,61118.4
79292522,143,Support,60964.68
3333165,137,Online Products,60885.636
3333165,136,Online Products,60885.636
3333165,135,Online Products,60885.636
12727521,142,Services,60865.56
34343132,136,Online Products,60849.936
41313520,137,Online Products,60795.672
41313520,136,Online Products,60795.672
41313520,135,Online Products,60795.672
80707184,138,Online Products,60626.16
84343952,140,Online Products,60527.88
68484104,140,Services,60343.92
87373132,141,Support,60278.4
22525115,138,Support,60260.76
97878594,139,Services,60162.48
79797604,140,Online Products,60088.56
34343132,135,Online Products,59813.208
69393112,139,Services,59761.8
32121521,134,Online Products,59703.84
8686522,141,Support,59584.56
12727521,140,Support,59376.24
30303520,139,Online Products,59113.32
14040147,136,Online Products,59102.064
8686522,139,Support,58896.6
34343132,143,Online Products,58828.56
66363165,139,Online Products,58810.08
54949520,134,Services,58763.88
63333112,132,Online Products,58750.44
68181520,142,Services,58649.64
28686156,136,Online Products,58619.4
32121521,133,Online Products,58299.36
12727521,141,Support,58164.96
72828522,137,Support,58089.612
72828522,136,Support,58089.612
72828522,135,Support,58089.612
14040147,135,Online Products,58023.924
98080522,134,Services,57890.28
54747520,142,Services,57826.44
79292522,142,Support,57765.96
28686156,135,Online Products,57648.36
67676520,134,Support,57544.2
14040147,143,Online Products,57450.96
22525115,139,Support,57301.44
84949133,139,Online Products,56986.44
28686156,143,Online Products,56978.88
68888108,137,Online Products,56950.068
75858109,142,Online Products,56890.68
87373132,140,Support,56857.92
68484104,134,Online Products,56740.32
74848132,138,Services,56696.64
54949520,133,Services,56631.96
96464132,142,Online Products,56395.92
12929521,143,Services,56315.28
28282143,134,Services,56282.52
41111143,141,Online Products,56227.92
68484104,133,Online Products,56212.8
98080522,132,Support,56203.56
67676520,133,Support,56186.76
18080129,136,Online Products,55960.464
97878594,138,Services,55807.08
98080522,133,Services,55790.28
9797210,137,Online Products,55747.692
78787111,132,Online Products,55568.52
69393112,138,Services,55434.96
66363165,138,Online Products,55407.24
19292522,132,Online Products,55405.56
81010132,137,Online Products,55333.572
81010132,136,Online Products,55333.572
81010132,135,Online Products,55333.572
4545136,140,Online Products,55214.88
97171523,137,Support,54763.8
97171523,136,Support,54763.8
97171523,135,Support,54763.8
12727521,141,Services,54699.12
